Date,Open,High,Low,Close,Volume
2015-01-05,9908.897663093112,9950.184038488416,9826.323040031888,9867.6103515625,3277384
2015-01-06,9805.679044892791,9929.5400390625,9764.39173479113,9929.5400390625,1801426
2015-01-07,9929.54071034817,10135.976338677263,9929.54071034817,9991.4716796875,1883245
2015-01-08,9970.827592331849,9991.471247886135,9867.610250695714,9888.25390625,2420120
2015-01-09,9888.254434506845,10012.11543831425,9888.254434506845,9970.828125,1718722
2015-01-12,9970.82782097946,10156.619789093258,9970.82782097946,10032.7587890625,3153225
2015-01-13,9991.471376291238,10074.045999569587,9991.471376291238,10053.40234375,8321593
2015-01-14,10053.40244509018,10094.68882101022,9950.184164951783,10032.7587890625,2048374
2015-01-15,10074.045999569587,10074.045999569587,9991.471376291238,10053.40234375,1309065
2015-01-16,10074.046203084888,10074.046203084888,9991.471578138371,10012.115234375,809555
2015-01-19,10012.115788257934,10012.115788257934,9908.8984375,9908.8984375,1704279
2015-01-20,9908.8984375,9950.184816121946,9888.254780121337,9908.8984375,1742547
2015-01-21,9950.184366794614,10074.046305473272,9950.184366794614,9991.4716796875,2819860
2015-01-22,10032.759197787227,10032.759197787227,9950.1845703125,9950.1845703125,1389354
2015-01-23,9991.4716796875,10053.402649026828,9950.184366794614,9991.4716796875,1793718
2015-01-26,9991.4716796875,10053.402649026828,9991.4716796875,9991.4716796875,1783917
2015-01-27,9970.82847350061,10032.759445636597,9908.8984375,9908.8984375,1969616
2015-01-28,9888.25390625,9970.827592331849,9867.610250695714,9888.25390625,1210436
2015-01-29,9888.25390625,9908.897561804286,9867.610250695714,9888.25390625,1042294
2015-01-30,9908.897969518479,9929.54068978684,9805.6796875,9805.6796875,2820830
2015-02-02,9826.322465366035,9867.60977448207,9764.391501691982,9785.03515625,1273997
2015-02-03,9785.035599903207,9805.679255397208,9702.4619140625,9702.4619140625,961997
2015-02-04,9785.03668875798,9785.03668875798,9640.53202035515,9681.8193359375,1425761
2015-02-05,9702.462685728296,9805.680035272188,9681.819028592445,9743.75,849715
2015-02-06,9805.679891792575,9805.679891792575,9743.749857426566,9764.392578125,531126
2015-02-09,9846.967349543891,9846.967349543891,9743.75,9743.75,1763901
2015-02-10,9743.749124029971,9764.39184317466,9702.461813470027,9723.10546875,2806156
2015-02-11,9764.392374692608,9805.6796875,9743.749654424248,9805.6796875,1343846
2015-02-12,9888.254007327805,9950.184038488416,9867.6103515625,9867.6103515625,2020512
2015-02-13,9908.8984375,9950.184816121946,9867.611122742674,9908.8984375,923277
2015-02-24,9950.184164951783,10074.046101117858,9950.184164951783,10032.7587890625,2512778
2015-02-25,10074.046203084888,10115.33257942282,9991.471578138371,10012.115234375,2546931
2015-02-26,9991.471036677858,10115.33203125,9991.471036677858,10115.33203125,1540270
2015-02-27,10135.97691170515,10177.264226932173,10053.403217386487,10074.046875,1462447
2015-03-02,10115.33257942282,10115.33257942282,9991.471578138371,10012.115234375,2188376
2015-03-03,10074.045757374503,10094.6884765625,10032.758446727936,10094.6884765625,996232
2015-03-04,10156.620235345252,10424.985903225646,10156.620235345252,10321.7685546875,4706270
2015-03-05,10424.985903225646,10528.20418789915,10321.7685546875,10321.7685546875,1827431
2015-03-06,10321.7685546875,10424.985903225646,10301.1248977528,10321.7685546875,1556242
2015-03-09,10301.124777913941,10321.768434608484,10156.6201171875,10156.6201171875,3718113
2015-03-10,10218.551511656606,10259.837890625,10177.264196552824,10259.837890625,1524899
2015-03-11,10259.838137775447,10259.838137775447,10197.908099763321,10218.5517578125,1361257
2015-03-12,10218.551087271124,10218.551087271124,10135.976460492959,10156.6201171875,1709483
2015-03-13,10218.551087271124,10259.837464524859,10135.976460492959,10156.6201171875,1764048
2015-03-16,10156.618941390607,10197.90625,10156.618941390607,10197.90625,995994
2015-03-17,10218.551206149354,10424.985903225646,10218.551206149354,10321.7685546875,3471400
2015-03-18,10321.76896697462,10321.76896697462,10239.1943359375,10239.1943359375,1478650
2015-03-19,10301.125453873805,10321.769111922982,10218.5517578125,10218.5517578125,1172168
2015-03-20,10218.550438732225,10301.124124134354,10197.906783347871,10280.48046875,2140226
2015-03-23,10280.479931083546,10301.123585388243,10197.90625,10197.90625,1276466
2015-03-24,10218.552174627433,10218.552174627433,10074.047498524247,10135.9775390625,2085151
2015-03-25,10218.551087271124,10218.551087271124,10115.332803798416,10156.6201171875,1133680
2015-03-26,10197.90732836263,10197.90732836263,10156.62001538737,10177.263671875,1281948
2015-03-27,10239.193807830317,10239.193807830317,10156.6201171875,10156.6201171875,1053530
2015-03-30,10197.907308016593,10197.907308016593,9991.4716796875,9991.4716796875,2127078
2015-03-31,9991.4716796875,10053.402649026828,9991.4716796875,9991.4716796875,1698597
2015-04-01,10053.40341754732,10053.40341754732,9846.9677734375,9846.9677734375,1257983
2015-04-02,9867.610010045282,10012.114659265822,9846.966354994453,9929.5400390625,1244612
2015-04-03,10012.115902159463,10074.046875,9929.541271705411,10074.046875,773798
2015-04-06,10074.046203084888,10135.97623565945,10012.115234375,10012.115234375,903767
2015-04-07,9991.471136081369,10115.332131885783,9991.471136081369,10094.6884765625,929730
2015-04-08,10115.332131885783,10135.975787209067,10074.045757374503,10094.6884765625,889795
2015-04-09,10094.6884765625,10115.332131885783,10012.114791404652,10094.6884765625,1202446
2015-04-10,10094.689147103874,10197.907430576583,10074.04642654468,10156.6201171875,1602815
2015-04-13,10156.6201171875,10197.907430576583,10135.976460492959,10156.6201171875,761822
2015-04-14,10156.61968671263,10156.61968671263,10053.40234375,10053.40234375,1041500
2015-04-15,10094.6884765625,10115.332131885783,10012.114791404652,10094.6884765625,1170777
2015-04-16,10094.689596478123,10156.620569318662,10053.403217386487,10074.046875,709670
2015-04-17,10094.688245408497,10631.4204631176,10094.688245408497,10528.203125,6954567
2015-04-20,10528.203630773962,10528.203630773962,10301.124352644056,10424.9853515625,1665557
2015-04-21,10424.985903225646,10528.20418789915,10321.7685546875,10321.7685546875,1225756
2015-04-22,10321.7685546875,10528.20418789915,10321.7685546875,10321.7685546875,2705759
2015-04-23,10424.9853515625,10528.203630773962,10280.480696801762,10424.9853515625,2978436
2015-04-24,10424.9853515625,10528.203630773962,10321.768008486348,10424.9853515625,1246372
2015-04-27,10631.421875,10837.857514785692,10528.204523174849,10631.421875,2956846
2015-05-04,10631.42018199291,10734.637517381152,10115.331632781214,10197.90625,3799753
2015-05-05,10197.907549214653,10424.985903225646,10156.620235345252,10321.7685546875,2156612
2015-05-06,10321.76896697462,10424.986319635624,10239.1943359375,10239.1943359375,1888025
2015-05-07,10280.480368254945,10424.985018397556,10239.193057889834,10301.1240234375,1223900
2015-05-08,10301.1240234375,10424.985018397556,10301.1240234375,10301.1240234375,1119467
2015-05-11,10321.768863280673,10321.768863280673,10239.194233073109,10259.837890625,1064810
2015-05-12,10259.837464524859,10259.837464524859,10156.6201171875,10156.6201171875,1175932
2015-05-13,10156.6201171875,10177.263773882041,10053.40276985014,10156.6201171875,2188745
2015-05-14,10115.332702412112,10239.19370520255,10115.332702412112,10177.263671875,1323321
2015-05-15,10197.9085157362,10239.19489738322,10135.9775390625,10135.9775390625,1127314
2015-05-18,10115.333254091636,10156.620569318662,10074.046875,10074.046875,2290394
2015-05-19,10053.40276985014,10156.6201171875,10053.40276985014,10156.6201171875,2351572
2015-05-20,10239.192893227244,10528.203125,10218.550174511935,10528.203125,8780429
2015-05-21,10528.204432918747,10941.074772815291,10424.986145843075,10837.857421875,47955250
2015-05-22,10837.85794045203,10941.075296331133,10734.6396484375,10734.6396484375,13369183
2015-05-25,10734.638513489634,11147.509765625,10734.638513489634,11147.509765625,5545094
2015-05-26,11044.2925502386,11147.510841300118,10941.0751953125,10941.0751953125,4706923
2015-05-27,10837.857421875,11044.292123755582,10734.639134799329,10837.857421875,5649900
2015-05-28,10801.729648048587,10896.690272857677,10706.769023239498,10777.9892578125,4677505
2015-05-29,10801.730360172942,10801.730360172942,10659.289881636283,10683.0302734375,1444875
2015-06-01,10659.290090705459,10659.290090705459,10516.849609375,10516.849609375,3019213
2015-06-02,10516.849661727016,10516.849661727016,10374.4091796875,10374.4091796875,3937195
2015-06-03,10374.409324120115,10635.549899449714,10350.669867539928,10493.1103515625,2658713
2015-06-04,10493.109996062847,10564.32929952591,10493.109996062847,10540.58984375,906536
2015-06-05,10564.329563310783,10659.290197191523,10493.110258069417,10635.5498046875,2335439
2015-06-08,10683.030482972315,10706.769939103831,10516.849609375,10516.849609375,2822329
2015-06-09,10493.110153243486,10730.510331370688,10493.110153243486,10516.849609375,2498489
2015-06-10,10516.849098730363,10611.809727051645,10469.36925263737,10588.0693359375,1008615
2015-06-11,10588.069955814806,10659.290197191523,10588.069955814806,10635.5498046875,1830256
2015-06-12,10659.290656892153,10754.251294868238,10659.290656892153,10706.7705078125,8682909
2015-06-15,10777.989968371725,10777.989968371725,10635.549489835064,10683.0302734375,1823711
2015-06-16,10683.03012275905,10730.509969556484,10564.3291015625,10564.3291015625,1935640
2015-06-17,10540.58984375,10588.069691437151,10516.84945183876,10540.58984375,1951754
2015-06-18,10540.589646231438,10683.03012275905,10540.589646231438,10564.3291015625,5347396
2015-06-19,10564.329563310783,10706.770046064219,10564.329563310783,10635.5498046875,4259055
2015-06-22,10683.03118894408,10872.951531223505,10659.290795108376,10825.4716796875,5143275
2015-06-23,10825.470860789852,10849.21031669437,10777.990076710148,10801.73046875,2518634
2015-06-24,10825.470393550468,10825.470393550468,10730.509765625,10730.509765625,3581007
2015-06-25,10706.769729103395,10730.510120904612,10683.0302734375,10683.0302734375,2362249
2015-06-26,10706.769441211774,11371.491968554401,10706.769441211774,10991.650390625,17081399
2015-06-29,11110.3505859375,11324.01130014682,11039.131284003033,11110.3505859375,3777617
2015-06-30,10991.651208632851,11086.611844216077,10991.651208632851,11015.3916015625,4596018
2015-07-01,11015.390892601341,11181.570824007273,10944.170654531566,11110.3505859375,8912146
2015-07-02,11086.61046921906,11252.790390710325,11062.870079233771,11205.310546875,4402200
2015-07-03,11252.790745350881,11252.790745350881,11134.090663954015,11157.8310546875,3062748
2015-07-06,11181.570622242045,11276.53125,11157.831167404023,11276.53125,3955083
2015-07-07,11252.792648004843,11490.193787074313,11205.312794645124,11300.2734375,4574336
2015-07-08,11300.273041522416,11347.752893218372,11062.871910771819,11086.6123046875,9993955
2015-07-09,11039.132452991544,11134.092156383456,10967.912207379904,11086.6123046875,6665856
2015-07-10,11086.611485912392,11157.83172626423,11015.391245560553,11062.87109375,3374349
2015-07-13,11062.87155356299,11276.53228349902,11039.132096549238,11134.091796875,6095540
2015-07-14,11134.091796875,11205.312040187011,11062.87155356299,11134.091796875,3010940
2015-07-15,11157.832086869654,11157.832086869654,11015.3916015625,11015.3916015625,2644457
2015-07-16,10967.911751838572,11015.3916015625,10872.951116255346,11015.3916015625,2871188
2015-07-17,10991.651208632851,11134.091693940005,10967.911751838572,11015.3916015625,2687382
2015-07-20,11015.390979856678,11015.390979856678,10896.690894178575,10967.9111328125,2099017
2015-07-21,10920.431382759512,10944.171776595216,10777.99089201609,10825.4716796875,3539011
2015-07-22,10825.471111045572,11039.1318359375,10801.730718456907,11039.1318359375,2200042
2015-07-23,11015.390582557147,11371.49176288303,11015.390582557147,11157.8310546875,9741245
2015-07-24,11205.312794645124,11347.753290859719,11205.312794645124,11300.2734375,5195101
2015-07-27,11371.491293196395,11751.331912431593,11347.75090344348,11632.6318359375,7533599
2015-07-28,11632.633222886641,11632.633222886641,11442.712890625,11442.712890625,2561839
2015-07-29,11442.712426224574,11561.41251205376,11324.011404260073,11371.4921875,4518735
2015-07-30,11371.492235867505,11395.231691453126,11229.0517578125,11229.0517578125,3788843
2015-07-31,11324.011452425622,11347.751844146564,11229.0517578125,11229.0517578125,2185832
2015-08-03,11157.83192661012,11157.83192661012,11015.391443348835,11039.1318359375,4751275
2015-08-04,11134.090663954015,11252.790745350881,11062.870427888838,11157.8310546875,2205417
2015-08-05,11205.312141594926,11252.7919921875,11134.091897638375,11252.7919921875,2180140
2015-08-06,11252.791062077047,11300.271844880433,11110.3505859375,11110.3505859375,3263103
2015-08-07,11157.831518784997,11276.531605119062,11086.611279757495,11229.0517578125,2691662
2015-08-10,11276.532466805746,11513.93359375,11276.532466805746,11513.93359375,5413737
2015-08-11,11513.932932781907,11632.633021372249,11395.231908056227,11466.4521484375,3680018
2015-08-12,11395.233144219437,11395.233144219437,11229.053189392704,11300.2734375,5075845
2015-08-13,11300.271526817853,11300.271526817853,11110.350273220529,11157.8310546875,6715557
2015-08-14,11134.090977339194,11229.05160681066,11039.131284003033,11110.3505859375,3401685
2015-08-17,11110.350673945035,11181.570912578958,10920.430349633007,10967.9111328125,3295492
2015-08-18,10967.911397371108,11086.611485912392,10920.430613046323,11062.87109375,3035326
2015-08-19,10896.691050711266,11039.131530025295,10801.73041912347,10944.1708984375,3475625
2015-08-20,10967.911340758297,10967.911340758297,10777.990076710148,10801.73046875,2892889
2015-08-21,10706.76937460981,10730.509765625,10445.628817983888,10730.509765625,4926039
2015-08-24,10540.590371552382,10588.070221617007,10042.048669400001,10065.7890625,8592345
2015-08-25,9970.828526177014,10326.92974556949,9970.828526177014,10184.4892578125,7600212
2015-08-26,10208.228585704554,10564.328831795006,10208.228585704554,10469.369140625,4040562
2015-08-27,10469.369760976628,10588.06985004023,10445.629368709771,10516.849609375,2996039
2015-08-28,10588.070153926774,10635.550003687858,10516.849911217463,10611.810546875,3567729
2015-08-31,10564.329657438426,10635.549899449714,10469.369958846952,10493.1103515625,1549091
2015-09-01,10540.589377070148,10540.589377070148,10421.889295039997,10469.369140625,1451982
2015-09-03,10421.889964457569,10469.369813092291,10374.4091796875,10374.4091796875,2266469
2015-09-04,10374.4099963711,10469.370637251284,10350.670538252618,10398.150390625,808216
2015-09-07,10445.628635443225,10445.628635443225,10303.188164111862,10350.6689453125,579547
2015-09-08,10326.92805024777,10469.368514621,10326.92805024777,10421.888671875,787785
2015-09-09,10516.848986210003,10540.589377070148,10469.369140625,10469.369140625,1420126
2015-09-10,10469.369958846952,10493.1103515625,10421.890109551214,10493.1103515625,923987
2015-09-11,10540.590520418265,10540.590520418265,10445.6298828125,10445.6298828125,720229
2015-09-14,10445.629420707257,10445.629420707257,10374.4091796875,10374.4091796875,1939236
2015-09-15,10350.669723437812,10421.889964457569,10326.929331052777,10374.4091796875,771795
2015-09-16,10374.4091796875,10421.889964457569,10350.669723437812,10374.4091796875,499561
2015-09-17,10374.4099963711,10445.630242997384,10374.4099963711,10398.150390625,492534
2015-09-18,10588.0693359375,10659.289573144637,10469.36925263737,10588.0693359375,3246187
2015-09-21,10564.32935675748,10801.73046875,10564.32935675748,10801.73046875,2215591
2015-09-22,10801.730002535278,10825.470393550468,10706.76937460981,10730.509765625,1168600
2015-09-23,10706.769887230837,10777.990127551013,10659.2900390625,10659.2900390625,1808407
2015-09-24,10635.550263364285,10754.251294868238,10635.550263364285,10706.7705078125,1160767
2015-09-25,10730.510279382675,10730.510279382675,10635.549646910662,10659.2900390625,1046940
2015-09-28,10659.289731292678,10683.03012275905,10564.3291015625,10564.3291015625,1080455
2015-09-29,10564.3291015625,10564.3291015625,10516.849254765066,10564.3291015625,1137308
2015-09-30,10635.549339826306,10635.549339826306,10516.849254765066,10564.3291015625,8720544
2015-10-01,10564.328944823355,10611.809727051645,10540.589489844508,10588.0693359375,1946017
2015-10-02,10588.0693359375,10635.549182030492,10564.328944823355,10588.0693359375,1137798
2015-10-05,10611.810034169172,10706.769729103395,10588.069642367953,10683.0302734375,1544248
2015-10-06,10825.470967239991,10967.911448609097,10777.990182693395,10920.4306640625,3811457
2015-10-07,10967.910867371023,10967.910867371023,10683.029919729912,10730.509765625,1363392
2015-10-08,10730.510685839205,10872.951171875,10730.510685839205,10872.951171875,1336658
2015-10-09,10920.431021841807,11015.391657910795,10872.951171875,10872.951171875,3145318
2015-10-12,10849.21077882391,10896.69156492609,10849.21077882391,10872.951171875,1674148
2015-10-13,10872.950708734223,10872.950708734223,10777.990076710148,10801.73046875,1203773
2015-10-14,11157.83255029914,11371.493287134055,11062.871910771819,11086.6123046875,12423793
2015-10-15,11134.091334101839,11134.091334101839,11039.131637722947,11062.87109375,1723127
2015-10-16,11086.6123046875,11134.092156383456,11086.6123046875,11086.6123046875,2336404
